Exposure	Outcome	famr_none	famr_gfa	susie.ss	mrash.ss	susie.ss_gfa	mrash.ss_gfa	ivw	robust	ivw_gfa	robust_gfa	ivw.univar
Cholesterol esters in large HDL	Coronary Artery Disease (CAD)	0.0231244098686729	0.00983011944400458	0.0141009845758794	0.0103658201153318	2.22499537849696e-06	0.00979160701115078	0.0793469404569148	0.0168376883765567	0.0184351927752618	0.0125855512850567	0.572922873071627
Free cholesterol in large HDL	Coronary Artery Disease (CAD)	0.0100859987414207	0.0125921025500008	0.0210971893288054	0.0121737865507779	1.65303615773382e-06	0.0115003325226103	0.0793469404569148	0.0168376883765567	0.0543055939383594	0.0125855512850567	0.486006048779975
Total lipids in large HDL	Coronary Artery Disease (CAD)	0.012358959210945	0.0137435021296471	0.0287162987010969	0.0156598693912712	2.63582521020655e-06	0.0148462872770441	0.150590952623607	0.0168376883765567	0.178578341837738	0.0125855512850567	0.491986128682582
Concentration of large HDL particles	Coronary Artery Disease (CAD)	0.0116477814380106	0.0145572756058143	0.0326347122876229	0.0171523461349528	2.73345227286281e-06	0.0162752460417307	0.0978822013993538	0.0168376883765567	0.0975823293058302	0.0125855512850567	0.486006048779975
Phospholipids in large HDL	Coronary Artery Disease (CAD)	0.0122442734601811	0.0166456318601601	0.0408387290445145	0.0180377164653365	2.60314246236515e-06	0.0171328068672969	0.00681941317835044	0.0168376883765567	0.0133063125425045	0.0125855512850567	0.600934525781001
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.104014149349138	0.114133597517194	0.138554189343415	0.00538683400472317	0.0850418628995971	0.00500148232227493	0.0878116257369408	0.0168376883765567	0.0589608127080742	0.0125855512850567	0.999999999999039
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.104014149349138	0.114133597517194	0.138554189343415	0.00538683400472317	0.0850418628995971	0.00500148232227493	0.0878116257369408	0.0168376883765567	0.0589608127080742	0.0125855512850567	0.999999144935337
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.104014149349138	0.114133597517194	0.0062828050563063	0.00307417833915269	1.60776884072789e-06	0.00286259302792469	0.0978822013993538	0.0168376883765567	0.178578341837738	0.0125855512850567	0.999999999999039
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.104014149349138	0.114133597517194	0.0062828050563063	0.00307417833915269	1.60776884072789e-06	0.00286259302792469	0.0978822013993538	0.0168376883765567	0.178578341837738	0.0125855512850567	0.999999144935337
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.104014149349138	0.00548290786230821	0.138554189343415	0.00538683400472317	0.0850418628995971	0.00500148232227493	0.0878116257369408	0.0168376883765567	0.0589608127080742	0.0125855512850567	0.999999999999039
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.104014149349138	0.00548290786230821	0.138554189343415	0.00538683400472317	0.0850418628995971	0.00500148232227493	0.0878116257369408	0.0168376883765567	0.0589608127080742	0.0125855512850567	0.999999144935337
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.104014149349138	0.00548290786230821	0.0062828050563063	0.00307417833915269	1.60776884072789e-06	0.00286259302792469	0.0978822013993538	0.0168376883765567	0.178578341837738	0.0125855512850567	0.999999999999039
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.104014149349138	0.00548290786230821	0.0062828050563063	0.00307417833915269	1.60776884072789e-06	0.00286259302792469	0.0978822013993538	0.0168376883765567	0.178578341837738	0.0125855512850567	0.999999144935337
Free cholesterol in large LDL	Coronary Artery Disease (CAD)	0.457834766578749	0.0182280173258994	0.00826853665166438	0.00465589538664712	0.0101337996110952	0.00431896922368114	0.00220685541204912	0.0168376883765567	0.0133063125425045	0.0125855512850567	0.999999998520835
Total lipids in large LDL	Coronary Artery Disease (CAD)	0.0276478171016437	0.0442119757240974	0.0362898356828107	0.00449854459369026	0.0302969732473205	0.00417503101014327	0.0793469404569148	0.0168376883765567	0.0589582164377981	0.0125855512850567	0.999999999999514
Concentration of large LDL particles	Coronary Artery Disease (CAD)	0.0113159997444582	0.0323364008961456	0.0188105058753977	0.00409711299507598	0.0203713492762937	0.00380211550882326	0.150590952623607	0.0168376883765567	0.178578341837738	0.0125855512850567	0.999999999999018
Total cholesterol in large VLDL	Coronary Artery Disease (CAD)	0.0108201911844051	0.00556898607405942	0.00702975134221084	0.00389959717175736	2.57252384638917e-06	0.00362587564719707	0.00220685541204912	0.0168376883765567	0.0133063125425045	0.0125855512850567	0.999994670878691
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.00945169590375816	0.114133597517194	0.138554189343415	0.00538683400472317	0.0850418628995971	0.00500148232227493	0.0878116257369408	0.0168376883765567	0.0589608127080742	0.0125855512850567	0.999999999999039
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.00945169590375816	0.114133597517194	0.138554189343415	0.00538683400472317	0.0850418628995971	0.00500148232227493	0.0878116257369408	0.0168376883765567	0.0589608127080742	0.0125855512850567	0.999999144935337
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.00945169590375816	0.114133597517194	0.0062828050563063	0.00307417833915269	1.60776884072789e-06	0.00286259302792469	0.0978822013993538	0.0168376883765567	0.178578341837738	0.0125855512850567	0.999999999999039
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.00945169590375816	0.114133597517194	0.0062828050563063	0.00307417833915269	1.60776884072789e-06	0.00286259302792469	0.0978822013993538	0.0168376883765567	0.178578341837738	0.0125855512850567	0.999999144935337
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.00945169590375816	0.00548290786230821	0.138554189343415	0.00538683400472317	0.0850418628995971	0.00500148232227493	0.0878116257369408	0.0168376883765567	0.0589608127080742	0.0125855512850567	0.999999999999039
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.00945169590375816	0.00548290786230821	0.138554189343415	0.00538683400472317	0.0850418628995971	0.00500148232227493	0.0878116257369408	0.0168376883765567	0.0589608127080742	0.0125855512850567	0.999999144935337
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.00945169590375816	0.00548290786230821	0.0062828050563063	0.00307417833915269	1.60776884072789e-06	0.00286259302792469	0.0978822013993538	0.0168376883765567	0.178578341837738	0.0125855512850567	0.999999999999039
Cholesterol esters in large VLDL	Coronary Artery Disease (CAD)	0.00945169590375816	0.00548290786230821	0.0062828050563063	0.00307417833915269	1.60776884072789e-06	0.00286259302792469	0.0978822013993538	0.0168376883765567	0.178578341837738	0.0125855512850567	0.999999144935337
Free cholesterol in large VLDL	Coronary Artery Disease (CAD)	0.0104032062257032	0.00528939516517446	0.00958610149462669	0.00363608904596968	4.12922051862274e-06	0.00337685684675337	0.0978822013993538	0.0168376883765567	0.178578341837738	0.0125855512850567	0.154584104169113
Total lipids in large VLDL	Coronary Artery Disease (CAD)	0.00945203237451053	0.00528773941659144	0.00765062908604397	0.00295012729098443	3.87037071336582e-06	0.0027413568102802	0.0793469404569148	0.0168376883765567	0.0543055939383594	0.0125855512850567	0.0491455193498612
Concentration of large VLDL particles	Coronary Artery Disease (CAD)	0.010960236318887	0.00532157447277626	0.00698274398646415	0.00306356926306917	3.08192594566936e-06	0.00284586458721459	0.0793469404569148	0.0168376883765567	0.0184351927752618	0.0125855512850567	0.12165089809696
Phospholipids in large VLDL	Coronary Artery Disease (CAD)	0.00947131876377627	0.00529901438684111	0.0155332957910514	0.00372510197203901	7.06500379887842e-06	0.00345517045587906	0.150590952623607	0.0168376883765567	0.178578341837738	0.0125855512850567	0.999999465220269
Triglycerides in large VLDL	Coronary Artery Disease (CAD)	0.0132599175525231	0.00549091351098063	0.00542645838528832	0.00348938963978784	3.08682724625697e-06	0.0032418564912583	0.0793469404569148	0.0168376883765567	0.0543055939383594	0.0125855512850567	0.0491455193498612
Total cholesterol in LDL	Coronary Artery Disease (CAD)	0.25909052849754	0.334964184215088	0.469386986526276	0.00628011545119245	0.29968627629417	0.00583038211808351	0.00220685541204912	0.0168376883765567	0.0133063125425045	0.0125855512850567	0.999999991180575
Mean diameter for LDL particles	Coronary Artery Disease (CAD)	0.0159584600037708	0.0117131512828134	0.00620614283840015	0.00563754570311581	9.14298471255126e-06	0.00523240779288647	0.0793469404569148	0.0168376883765567	0.0344929294972155	0.0125855512850567	0.66584151733664
Total cholesterol in medium HDL	Coronary Artery Disease (CAD)	0.107521480598286	0.0432515258583365	0.0471849472798416	0.0152139144649911	1.6845554987599e-05	0.0144728804425098	0.0793469404569148	0.0168376883765567	0.0543055939383594	0.0125855512850567	0.945163588952146
Cholesterol esters in medium HDL	Coronary Artery Disease (CAD)	0.0568486285071793	0.0350066352047644	0.0299748623034607	0.0118262663477515	1.42785666643608e-05	0.0112259772399944	0.00220685541204912	0.0168376883765567	0.0133063125425045	0.0125855512850567	0.982536853645411
Free cholesterol in medium HDL	Coronary Artery Disease (CAD)	0.842206691689437	0.0622932738587536	0.11691699088738	0.0247024782818531	1.09715385619991e-05	0.0235690919754221	0.00220685541204912	0.0168376883765567	0.0133063125425045	0.0125855512850567	0.931446852857933
Total lipids in medium HDL	Coronary Artery Disease (CAD)	0.0141822360796605	0.07148885129439	0.104272098786692	0.0307711626248672	5.90040060191033e-05	0.0293892832373561	0.00220685541204912	0.0168376883765567	0.0133063125425045	0.0125855512850567	0.857019766773427
Concentration of medium HDL particles	Coronary Artery Disease (CAD)	0.0135668223761838	0.0861884127928934	0.136501554245566	0.045997850347305	0.000104321022947218	0.0439110383195009	0.00220685541204912	0.0168376883765567	0.0133063125425045	0.0125855512850567	0.636265902822218
Phospholipids in medium HDL	Coronary Artery Disease (CAD)	0.0167257243216848	0.124111004117338	0.22180812352708	0.0582154344961945	0.000108809571174651	0.0555228062246844	0.00681941317835044	0.0168376883765567	0.0133063125425045	0.0125855512850567	0.9045922404794
Total cholesterol in medium LDL	Coronary Artery Disease (CAD)	0.0719168843050791	0.213568518292508	0.188439114578107	0.0060887900091704	0.150110098834288	0.00565523796370981	0.0793469404569148	0.0168376883765567	0.0344929294972155	0.0125855512850567	0.999999756480103
Cholesterol esters in medium LDL	Coronary Artery Disease (CAD)	0.0344557136375855	0.0843649859754998	0.0446732555963794	0.00486288787147393	0.0473944718672618	0.00451741699573815	0.0978822013993538	0.0168376883765567	0.0975823293058302	0.0125855512850567	0.999999965928952
Total lipids in medium LDL	Coronary Artery Disease (CAD)	0.0141670586088101	0.0364908452979105	0.0193826733651654	0.00441339198508761	0.029525314115153	0.00409837505400756	0.00220685541204912	0.0168376883765567	0.0133063125425045	0.0125855512850567	0.999999863012348
Concentration of medium LDL particles	Coronary Artery Disease (CAD)	0.0106199739653093	0.021358719620479	0.00900260613934356	0.00388916745017176	0.0185450043255116	0.00361081760633608	0.150590952623607	0.351034659172316	0.178578341837738	0.430198651250688	0.999999976822049
Phospholipids in medium LDL	Coronary Artery Disease (CAD)	0.0111170434377089	0.0467576609518603	0.0517211441407406	0.0049018337464416	0.0723102366175866	0.00454804407046006	0.0977195014983588	0.0168376883765567	0.0675675862785674	0.0125855512850567	0.999999999960807
Cholesterol esters in medium VLDL	Coronary Artery Disease (CAD)	0.012371893660047	0.00530239301689006	0.00559451423161195	0.00339524162804383	1.10820176935089e-06	0.00314346054243653	0.00220685541204912	0.0168376883765567	0.0133063125425045	0.0125855512850567	0.999999770366432
Free cholesterol in medium VLDL	Coronary Artery Disease (CAD)	0.023386880850823	0.00548820878048439	0.00515817852689637	0.00280289977549197	1.12782190231364e-06	0.00259739897715738	0.0793469404569148	0.0168376883765567	0.0184351927752618	0.0125855512850567	0.999989474990887
Total lipids in medium VLDL	Coronary Artery Disease (CAD)	0.0149239718691744	0.005297703496282	0.00734816551785988	0.00322019233106319	1.65896294679335e-06	0.00298283958300272	0.00220685541204912	0.0168376883765567	0.0133063125425045	0.0125855512850567	0.999999061955888
Concentration of medium VLDL particles	Coronary Artery Disease (CAD)	0.0132017041264921	0.00568096364320902	0.00394113176221111	0.00369622685594617	1.10940054720565e-06	0.00343707436160068	0.0978822013993538	0.0168376883765567	0.178578341837738	0.0125855512850567	0.999991462018381
Phospholipids in medium VLDL	Coronary Artery Disease (CAD)	0.0204672593438422	0.00537018900464026	0.00507442816914172	0.00292159210852982	1.10526911345499e-06	0.00270685782987667	0.0793469404569148	0.0168376883765567	0.0675675862785674	0.0125855512850567	0.999999649623564
Triglycerides in medium VLDL	Coronary Artery Disease (CAD)	0.0920048871448436	0.00569671856192722	0.00404084590289477	0.00333006292935245	1.34633424386799e-06	0.00309694838565544	0.150590952623607	0.0168376883765567	0.178578341837738	0.0125855512850567	0.999987874847289
Total lipids in small HDL	Coronary Artery Disease (CAD)	0.0136243135879653	0.00915511777204414	0.00499849498283389	0.00499841111397337	8.91473007524901e-07	0.00467044841195352	0.0529478295028445	0.0168376883765567	0.0543055939383594	0.0125855512850567	0.408491989840708
Concentration of small HDL particles	Coronary Artery Disease (CAD)	0.0119130730310693	0.013071721614256	0.00554154366806614	0.00545841992539109	2.10054529770076e-06	0.0051080021458445	0.0978822013993538	0.0168376883765567	0.125872621859329	0.0125855512850567	0.0890772861632244
Triglycerides in small HDL	Coronary Artery Disease (CAD)	0.0110172124225408	0.00538083116467536	0.00267525862262119	0.00328493224781612	5.40144587946045e-07	0.00303851767297336	0.0793469404569148	0.0168376883765567	0.0543055939383594	0.0125855512850567	0.999886947240479
Total cholesterol in small LDL	Coronary Artery Disease (CAD)	0.04677106083105	0.0495896989219472	0.0266620155609715	0.00566922530686231	0.0972764595534111	0.00526368121393561	0.150590952623607	0.0168376883765567	0.178578341837738	0.0125855512850567	0.99999995497208
Total lipids in small LDL	Coronary Artery Disease (CAD)	0.00961280960474187	0.00687913854740363	0.00278849094050881	0.00358997819393625	0.00552015306795661	0.00333190883964685	0.0529478295028445	0.0168376883765567	0.0543055939383594	0.0125855512850567	0.99999999496707
Concentration of small LDL particles	Coronary Artery Disease (CAD)	0.00948621133784566	0.00683143156041932	0.00276517531069231	0.00319972801510282	0.00887835437267592	0.0029683543969441	0.00220685541204912	0.0168376883765567	0.0184351927752618	0.0125855512850567	0.999999999999039
Total cholesterol in small VLDL	Coronary Artery Disease (CAD)	0.0220236047551091	0.0214533683930852	0.00260300696556903	0.00408932015623142	0.000450576940224434	0.00380786352627316	0.00681941317835044	0.0168376883765567	0.0133063125425045	0.0125855512850567	0.999999411300699
Free cholesterol in small VLDL	Coronary Artery Disease (CAD)	0.0796567267211677	0.0121723705703191	0.00314701152857277	0.00485967165933276	0.000197190270829206	0.00452570259195328	0.0978822013993538	0.0168376883765567	0.0675675862785674	0.00207727975978211	0.999999873135086
