Exposure	Outcome	famr_none	famr_gfa	susie.ss	mrash.ss	susie.ss_gfa	mrash.ss_gfa	ivw	robust	ivw_gfa	robust_gfa	ivw.univar
Polyunsaturated Fatty Acids (PUFA)	Coronary Artery Disease (CAD)	0.381483747081762	0.0289711459796906	0.999999999866436	1	1	0.99999999999999	0.988519429030574	0.225441853313926	0.999955750735489	0.878101963916443	0.981932178726479
Pyruvate	Coronary Artery Disease (CAD)	0.0477269188842514	0.027735628475603	0.346885364839593	0.257556940309422	0.435860889111088	0.0987902574302277	0.0657467337918116	0.308490882961369	0.0414676449103571	0.0833556586890276	0.08140847862917
Tyrosine	Coronary Artery Disease (CAD)	0.0414448266342279	0.031923726349234	0.296297763015522	0.262455491303563	0.409145774205391	0.0569146387157048	0.0742337774885188	0.308490882961369	0.0497718800635966	0.00854275749686817	0.219978019315787
Valine	Coronary Artery Disease (CAD)	0.0862444923387312	0.0638189317647988	0.313541060595572	0.274112111127608	0.509766160611271	0.0669622745846713	0.598175046525293	0.740084687561745	0.870025948866427	0.956011363200035	0.84557824685424
Birth Weight (BW)	Stroke	0.0675853064400417	0.017508697054589	0.000617262426202414	0.17644700985828	0.00057361184432736	0.0425686890611258	0.0043171031610737	0.0651921108029613	0.0548597418746286	0.108286445379274	0.414747730789066
Body Mass Index	Stroke	0.664527790079788	0.0196113042234444	0.994198086711507	0.992913842678453	0.739530745457351	0.993571569118778	0.592915291060916	0.651757440240966	0.101198758448782	0.169778571931353	0.997406076078321
High Density Lipoprotein (HDL)	Stroke	0.0476831887112558	0.0142921555324432	0.00136562069362767	0.227559650304183	0.00125196330566479	0.046347268899437	0.592915291060916	0.439828920291414	0.461866329142383	0.675081736616112	0.864159114775639
Low Density Lipoprotein (LDL)	Stroke	0.398573680414386	0.140358189959833	0.966034046396696	0.997663691150072	0.81754102106364	0.986633110614992	0.804623703994689	0.774663159195287	0.631873977526883	0.705248153758415	0.990373282890939
Triglycerides	Stroke	0.0457417749718365	0.023866597804731	0.000530125144583615	0.108212558436444	0.000492903610542106	0.0217990793362245	0.37087223673756	0.384630457198154	0.15664572679402	0.173949269790517	0.414747730789066
Height	Stroke	0.118580202711469	0.0639008155903288	0.00052370745471586	0.0985864651417722	0.000491213346194841	0.0195629760384503	0.0494322283207024	0.0651921108029613	0.280633629584842	0.169778571931353	0.440475554850624
Body Fat	Stroke	0.11170006397438	0.0192282151743038	0.00201940182669025	0.202083703297545	0.00169755393762616	0.0401255837387843	0.37087223673756	0.439828920291414	0.280633629584842	0.354034251575999	0.414747730789066
Fasting Glucose	Stroke	0.0479540953441412	0.0199766226758595	0.00537223183186042	0.485388990336027	0.00515608468468554	0.214409659024714	0.592915291060916	0.439828920291414	0.920118303962986	0.958817609465385	0.440475554850624
Systolic Blood Pressure	Stroke	1	0.015566543488904	0.999999999999996	1	0.985324575997458	1	0.999999999999911	0.99999294914404	0.461866329142383	0.21460825423	1
Diastolic Blood Pressure	Stroke	0.34001624992406	0.48752951350326	0.000677219929731909	0.0327746273003435	0.000616130997617814	0.00493902492543941	0.37087223673756	0.0831260320487377	0.985414322174392	0.958817609465385	1
Smoking	Stroke	0.575801474328867	0.0392995425040967	0.00277941530138626	0.425045413692075	0.00262062390422801	0.147784978722447	0.592915291060916	0.651757440240966	0.00557276399967577	0.108286445379274	0.996485927233143
Alcohol	Stroke	0.0457505857822408	0.0244929909029222	0.000759277467803798	0.216027915651884	0.000730210320687985	0.0674638966043976	0.235125110726239	0.0831260320487377	0.184938345117969	0.169778571931353	0.914813728720243
Acetate	Stroke	0.116270689153321	0.0367866026419487	0.000544219342006547	0.180860156432096	0.000507158553626375	0.0438321882916316	0.0494322283207024	0.0831260320487377	0.0548597418746286	0.108286445379274	0.414747730789066
Acetone	Stroke	0.0580237950390399	0.0579645250213482	0.000942978720929522	0.240564534181959	0.000882598611498531	0.059601417619629	0.0494322283207024	0.221269302942345	0.0548597418746286	0.13266732485013	0.414747730789066
Alanine	Stroke	0.045565809625865	0.0450030964260953	0.000573926105514988	0.15878649299487	0.000539386666245312	0.0379049529631807	0.37087223673756	0.338925116678811	0.461866329142383	0.221019813921907	0.339859688648256
Albumin	Stroke	0.119156916517767	0.0214899432061267	0.000578598413330855	0.174688677314839	0.000536070043599568	0.0379789484468017	0.0494322283207024	0.0651921108029613	0.461866329142383	0.671907678706625	0.346708309447773
